request_no arrival_time track_pos deadline_time
r1 0 120 0
r2 0 172 0
r3 0 81 0
r4 0 157 0
r5 0 146 0
r6 0 55 0
r7 0 7 0
r8 0 152 0
r9 0 155 0
r10 0 45 0
r11 0 188 0
r12 0 42 0
r13 0 40 0
r14 0 61 0
r15 0 52 0
r16 0 142 0
r17 0 76 0
r18 0 93 0
r19 0 48 0
r20 0 106 0
r21 0 173 0
r22 0 65 0
r23 0 32 0
r24 0 98 0
r25 0 104 0
r26 0 184 0
r27 0 80 0
r28 0 43 0
r29 0 110 0
r30 0 113 0
r31 0 69 0
r32 0 35 0
r33 0 68 0
r34 0 102 0
r35 0 22 0
r36 0 49 0
r37 0 108 0
r38 0 192 0
r39 0 25 0
r40 0 10 0
r41 0 128 0
r42 0 71 0
r43 0 13 0
r44 0 182 0
r45 0 130 0
r46 0 169 0
r47 0 46 0
r48 0 44 0
r49 0 73 0
r50 0 56 0
r51 0 140 0
r52 0 131 0
r53 0 176 0
r54 0 194 0
r55 0 119 0
r56 0 164 0
r57 0 15 0
r58 0 174 0
r59 0 148 0
r60 0 3 0
r61 0 47 0
r62 0 111 0
r63 0 29 0
r64 0 26 0
r65 0 150 0
r66 0 162 0
r67 0 20 0
r68 0 11 0
r69 0 124 0
r70 0 158 0
r71 0 197 0
r72 0 161 0
r73 0 138 0
r74 0 41 0
r75 0 186 0
r76 0 147 0
r77 0 23 0
r78 0 191 0
r79 0 4 0
r80 0 199 0
r81 0 129 0
r82 0 74 0
r83 0 21 0
r84 0 85 0
r85 0 31 0
r86 0 107 0
r87 0 154 0
r88 0 63 0
r89 0 139 0
r90 0 34 0
r91 0 126 0
r92 0 134 0
r93 0 189 0
r94 0 84 0
r95 0 51 0
r96 0 160 0
r97 0 159 0
r98 0 109 0
r99 0 196 0
r100 0 115 0
r101 921 145 72
r102 808 85 72
r103 160 21 33
r104 905 176 77
r105 719 73 22
r106 69 26 40
r107 731 25 22
r108 966 198 52
r109 836 34 46
r110 548 98 50
r111 415 84 100
r112 25 82 81
r113 922 118 76
r114 135 192 23
r115 708 42 77
r116 828 171 85
r117 92 117 12
r118 296 180 36
r119 173 186 44
r120 536 90 88
r121 399 144 25
r122 130 33 54
r123 353 131 15
r124 268 187 47
r125 10 95 89
r126 551 24 82
r127 896 170 30
r128 93 29 41
r129 969 105 45
r130 999 164 55
r131 897 120 37
r132 267 163 87
r133 534 47 76
r134 367 111 17
r135 924 191 63
r136 909 1 83
r137 842 87 11
r138 761 17 69
r139 379 185 41
r140 355 75 66
r141 306 137 69
r142 229 139 78
r143 498 148 46
r144 50 22 50
r145 291 73 96
r146 142 68 58
r147 593 188 10
r148 864 7 12
r149 584 52 18
r150 930 5 62
r151 691 1 45
r152 349 145 41
r153 687 23 66
r154 128 46 29
r155 494 68 88
r156 977 134 51
r157 325 96 83
r158 30 134 53
r159 323 166 24
r160 968 81 18
r161 783 65 25
r162 651 170 44
r163 148 189 37
r164 67 101 70
r165 649 145 39
r166 806 118 93
r167 668 169 63
r168 959 2 43
r169 807 57 30
r170 709 178 26
r171 303 108 42
r172 655 10 98
r173 699 153 100
r174 38 194 76
r175 548 117 16
r176 690 77 49
r177 751 58 93
r178 108 39 100
r179 450 41 49
r180 559 123 89
r181 22 79 37
r182 260 106 76
r183 376 29 84
r184 14 76 81
r185 497 131 37
r186 249 175 71
r187 723 111 57
r188 252 105 59
r189 461 123 14
r190 415 0 100
r191 656 85 23
r192 28 11 44
r193 807 56 33
r194 582 114 97
r195 808 37 38
r196 913 161 53
r197 445 92 67
r198 705 148 70
r199 63 102 64
r200 658 129 83
